REIT,Property Name,Ownership Percentage,Property Type,Occupancy Percentage,Rentable Area,Leased Area,Total Area,City,State,Full Address,Latitude,Longitude
Vornado,968 Third Avenue,50.00%,Retail,100.00%,"7,000",,"7,000",New York,New York,968 Third Avenue New York New York ,40.760951,-73.967412
Vornado,137 West 33rd Street,100.00%,Retail,100.00%,"3,000",,"3,000",New York,New York,137 West 33rd Street New York New York ,40.7500832,-73.9899172
Vornado,57th Street,50.00%,Land (6),,,,,New York,New York,57th Street New York New York ,40.7672935,-73.9841978
Vornado,Eighth Avenue and 34th Street,100.00%,Land (6),,,,,New York,New York,Eighth Avenue and 34th Street New York New York ,40.7527053,-73.9946697
Vornado,Hotel Pennsylvania Site,100.00%,Land (6),,,,,New York,New York,Hotel Pennsylvania Site New York New York ,40.7499775,-73.9910082
Vornado,Other (3 buildings),100.00%,Retail,100.00%,"16,000",,"16,000",New York,New York,Other (3 buildings) New York New York ,40.6733643,-73.9844472
Vornado,731 Lexington Avenue,32.40%,Office / Retail,98.90%,"1,079,000",,"1,079,000",New York,New York,731 Lexington Avenue New York New York ,40.7617421,-73.9675372
Vornado,"Rego Park II, Queens",32.40%,Retail,87.30%,"480,000","135,000","615,000",New York,New York,"Rego Park II, Queens New York New York ",40.7255722,-73.8624893
Vornado,"Rego Park I, Queens",32.40%,Retail,100.00%,"260,000","78,000","338,000",New York,New York,"Rego Park I, Queens New York New York ",40.7255722,-73.8624893
Vornado,The Alexander Apartment Tower,32.40%,Residential,98.70%,"255,000",,"255,000",New York,New York,The Alexander Apartment Tower New York New York ,40.733106,-73.8630433
Vornado,"Flushing, Queens",32.40%,Retail,100.00%,"167,000",,"167,000",New York,New York,"Flushing, Queens New York New York ",40.7674987,-73.833079
Vornado,"Rego Park III, Queens",32.40%,Land (6),,,,,New York,New York,"Rego Park III, Queens New York New York ",40.7255722,-73.8624893
Vornado,"theMART, Chicago",100.00%,Office / Retail / Trade,,81.60%,"3,616,000","56,000",Chicago,Illinois,"theMART, Chicago Chicago Illinois ",41.8880774,-87.635251
Vornado,Piers 92 and 94 (New York),100.00%,Trade show / Other,,,"208,000","208,000",New York,New York,Piers 92 and 94 (New York) New York New York ,40.6186233,-74.0370138
Vornado,"527 West Kinzie, Chicago",100.00%,Land (6),,,,,Chicago,Illinois,"527 West Kinzie, Chicago Chicago Illinois ",41.8887925,-87.6404285
Vornado,"Other, Chicago",50.00%,Retail,93.90%,"19,000",,"19,000",Chicago,Illinois,"Other, Chicago Chicago Illinois ",41.8781136,-87.6297982
Vornado,555 California Street,70.00%,Office / Retail,99.00%,"1,506,000",,"1,506,000",,California,555 California Street  California ,37.7920903,-122.4036761
Vornado,315 Montgomery Street,70.00%,Office / Retail,99.70%,"235,000",,"235,000",,California,315 Montgomery Street  California ,37.7921321,-122.4028295
Vornado,345 Montgomery Street,70.00%,Office / Retail,,"78,000",,"78,000",,California,345 Montgomery Street  California ,37.7925277,-122.4031008
Vornado,"Rosslyn Plaza, VA",45.60%,Office / Residential,62.80%,"685,000","304,000","989,000",,,"Rosslyn Plaza, VA   ",38.8954101,-77.0689439
Vornado,"Fashion Centre Mall / Washington Tower, VA",7.50%,Office / Retail,92.00%,"1,038,000",,"1,038,000",,,"Fashion Centre Mall / Washington Tower, VA   ",37.4315734,-78.6568942
Vornado,"Wayne Towne Center, Wayne, NJ",100.00%,Retail,100.00%,"681,000","9,000","690,000",,,"Wayne Towne Center, Wayne, NJ   ",40.8900894,-74.2539247
Vornado,"Annapolis, MD",100.00%,Retail,100.00%,"128,000",,"128,000",,,"Annapolis, MD   ",38.9784453,-76.4921829
Vornado,"Atlantic City, NJ",100.00%,Land,100.00%,,,,,,"Atlantic City, NJ   ",39.3642834,-74.4229266
